game_user_id,install_date,ua_cost,ltv_d3,ltv_d7,ltv_d30,ltv_d90,is_payer_by_d3,is_payer_by_d7,is_payer_by_d30,is_payer_by_d90,profit_d90,late_monetizer_flag,false_early_payer_flag,active_days_w7d,sessions_cnt_w7d,max_level_w7d
player_00001,2024-10-11,6.33,0,0,0,0,0,0,0,0,-6.33,0,0,3,12,11
player_00002,2024-12-05,3.84,0,0,0,0,0,0,0,0,-3.84,0,0,2,8,8
player_00003,2024-11-02,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7
player_00004,2024-10-29,5.51,0,0,0,0,0,0,0,0,-5.51,0,0,3,9,10
player_00005,2024-11-18,4.56,0,0,261.11,297,0,0,1,1,292.44,1,0,7,42,32
player_00006,2024-11-20,6.49,0,0,0,0,0,0,0,0,-6.49,0,0,1,5,15
player_00007,2024-10-07,1.57,0,0,3.49,485.62,0,0,1,1,484.05,1,0,5,26,35
player_00008,2024-10-15,6.57,0,0,0,0,0,0,0,0,-6.57,0,0,3,16,24
player_00009,2024-11-23,5.64,0,0,0,0,0,0,0,0,-5.64,0,0,1,3,5
player_00010,2024-12-28,4.27,0,0,0,0,0,0,0,0,-4.27,0,0,1,5,23
player_00011,2024-11-24,5.82,0,0,0,0,0,0,0,0,-5.82,0,0,2,10,12
player_00012,2024-12-13,4.99,0,0,0,0,0,0,0,0,-4.99,0,0,5,20,12
player_00013,2024-10-31,3.47,0,0,0,0,0,0,0,0,-3.47,0,0,1,4,6
player_00014,2024-10-02,0,0,0,0,0,0,0,0,0,0,0,0,5,25,15
player_00015,2024-12-20,1.93,0,0,0,0,0,0,0,0,-1.93,0,0,6,30,13
player_00016,2024-10-16,5.75,0,0,0,0,0,0,0,0,-5.75,0,0,2,9,6
player_00017,2024-12-14,5.9,0,0,0,0,0,0,0,0,-5.9,0,0,2,9,3
player_00018,2024-12-08,3.05,0,0,0,0,0,0,0,0,-3.05,0,0,7,42,24
player_00019,2024-11-03,0,0,0,0,0,0,0,0,0,0,0,0,6,31,19
player_00020,2024-11-18,2.59,0,0,0,0,0,0,0,0,-2.59,0,0,2,7,3
player_00021,2024-12-29,5.91,0,0,0,0,0,0,0,0,-5.91,0,0,1,5,13
