game_user_id,install_id,install_time,campaign_id,adset_id,creative_id,channel,country,os,device_model,device_tier,consent_tracking,consent_marketing
player_0001,inst_561086,2024-11-15T04:00:00.000Z,l2m_lookalike_jp,broad_male_25_44,cinematic_trailer,organic,JP,android,OPPO Find X7,high,true,true
player_0002,inst_270026,2024-10-31T13:00:00.000Z,l2m_launch_kr,broad_male_25_44,pvp_highlight,organic,DE,android,Samsung Galaxy S24,mid,true,true
player_0003,inst_331119,2024-12-16T13:00:00.000Z,l2m_launch_kr,high_spender_lal,cinematic_trailer,tiktok,TW,android,Xiaomi 14,low,true,true
player_0004,inst_606895,2024-12-07T11:00:00.000Z,l2m_brand_global,broad_male_25_44,gameplay_boss,meta_ads,RU,android,OnePlus 12,high,true,false
player_0005,inst_834548,2024-11-04T22:00:00.000Z,l2m_retarget_us,new_installer_ret,pvp_highlight,google_uac,JP,ios,iPhone 13,low,true,true
player_0006,inst_144330,2024-11-12T01:00:00.000Z,l2m_brand_global,high_spender_lal,guild_war_cg,influencer,JP,ios,iPhone 13,mid,true,false
player_0007,inst_949215,2025-01-30T15:00:00.000Z,l2m_lookalike_jp,mmorpg_gamers,gameplay_boss,organic,BR,ios,iPhone 13,high,true,true
player_0008,inst_545306,2024-11-07T00:00:00.000Z,l2m_brand_global,rpg_interest,gacha_reveal,google_uac,TH,ios,iPhone 15 Pro,low,false,false
player_0009,inst_738716,2025-01-24T01:00:00.000Z,l2m_video_tw,mmorpg_gamers,cinematic_trailer,influencer,BR,android,Samsung Galaxy S24,high,true,false
player_0010,inst_215476,2024-12-24T21:00:00.000Z,l2m_broad_sea,high_spender_lal,gacha_reveal,meta_ads,RU,ios,iPhone 14,high,true,false
player_0011,inst_657821,2024-11-15T06:00:00.000Z,l2m_launch_kr,broad_male_25_44,pvp_highlight,unity_ads,JP,android,Samsung Galaxy S24,mid,true,true
player_0012,inst_435387,2024-11-05T23:00:00.000Z,l2m_retarget_us,high_spender_lal,gameplay_boss,unity_ads,TW,ios,iPad Pro 12.9,mid,true,true
player_0013,inst_402541,2024-10-28T09:00:00.000Z,l2m_video_tw,new_installer_ret,cinematic_trailer,unity_ads,TH,android,OPPO Find X7,low,true,true
player_0014,inst_316830,2025-01-01T17:00:00.000Z,l2m_retarget_us,broad_male_25_44,pvp_highlight,unity_ads,DE,ios,iPhone 15 Pro,low,true,false
player_0015,inst_410609,2024-12-23T05:00:00.000Z,l2m_broad_sea,rpg_interest,cinematic_trailer,influencer,US,android,Xiaomi 14,mid,false,true
player_0016,inst_479002,2024-11-22T00:00:00.000Z,l2m_lookalike_jp,new_installer_ret,cinematic_trailer,unity_ads,KR,ios,iPad Pro 12.9,mid,false,false
player_0017,inst_759781,2024-10-21T08:00:00.000Z,l2m_launch_kr,rpg_interest,gameplay_boss,organic,KR,android,OnePlus 12,low,true,true
player_0018,inst_154213,2025-01-23T09:00:00.000Z,l2m_broad_sea,mmorpg_gamers,gacha_reveal,google_uac,KR,android,Samsung Galaxy S24,high,true,true
player_0019,inst_468812,2024-10-28T22:00:00.000Z,l2m_broad_sea,high_spender_lal,cinematic_trailer,google_uac,TH,ios,iPhone 13,mid,true,false
player_0020,inst_546406,2024-10-06T01:00:00.000Z,l2m_broad_sea,new_installer_ret,gacha_reveal,unity_ads,KR,ios,iPhone 15 Pro,low,true,false
player_0021,inst_613605,2025-01-15T09:00:00.000Z,l2m_retarget_us,new_installer_ret,gameplay_boss,organic,JP,android,Samsung Galaxy S24,high,true,true
player_0022,inst_395556,2024-11-28T22:00:00.000Z,l2m_broad_sea,high_spender_lal,gameplay_boss,meta_ads,JP,ios,iPhone 14,low,true,true
player_0023,inst_867564,2024-10-23T09:00:00.000Z,l2m_brand_global,broad_male_25_44,pvp_highlight,tiktok,DE,ios,iPhone 13,low,true,true
player_0024,inst_621202,2024-12-31T18:00:00.000Z,l2m_retarget_us,new_installer_ret,gameplay_boss,tiktok,TW,android,OPPO Find X7,mid,true,true
player_0025,inst_753041,2024-10-08T14:00:00.000Z,l2m_retarget_us,broad_male_25_44,gameplay_boss,tiktok,RU,ios,iPad Pro 12.9,low,true,true
player_0026,inst_374834,2025-01-03T02:00:00.000Z,l2m_broad_sea,mmorpg_gamers,pvp_highlight,unity_ads,BR,android,Samsung Galaxy S24,high,false,false
player_0027,inst_867948,2024-12-07T20:00:00.000Z,l2m_launch_kr,mmorpg_gamers,guild_war_cg,unity_ads,DE,android,Samsung Galaxy S24,high,true,true
player_0028,inst_433268,2024-10-10T14:00:00.000Z,l2m_lookalike_jp,mmorpg_gamers,gacha_reveal,meta_ads,US,ios,iPhone 14,low,true,true
player_0029,inst_115229,2024-12-25T16:00:00.000Z,l2m_broad_sea,broad_male_25_44,guild_war_cg,unity_ads,JP,android,Samsung Galaxy S24,low,false,true
player_0030,inst_869823,2025-01-12T21:00:00.000Z,l2m_launch_kr,new_installer_ret,gacha_reveal,organic,BR,ios,iPhone 15 Pro,low,true,false
player_0031,inst_428442,2024-12-06T22:00:00.000Z,l2m_broad_sea,rpg_interest,guild_war_cg,unity_ads,US,android,OnePlus 12,high,true,false
player_0032,inst_929394,2024-10-20T08:00:00.000Z,l2m_broad_sea,broad_male_25_44,cinematic_trailer,google_uac,JP,ios,iPhone 14,low,true,false
player_0033,inst_181366,2025-01-22T13:00:00.000Z,l2m_broad_sea,rpg_interest,gacha_reveal,google_uac,US,android,OnePlus 12,high,true,false
player_0034,inst_843680,2024-11-13T08:00:00.000Z,l2m_video_tw,broad_male_25_44,gameplay_boss,meta_ads,BR,ios,iPhone 15 Pro,high,true,true
