resource_type,resource_name,user_id,timestamp,metadata
realtime,Real-time Dashboard,tuanqg,2/11/2026 5:06,"{""folder"": ""AA22: Lineage 2 Mobile"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,tuanqg,2/11/2026 5:06,"{""folder"": ""AA22: Lineage 2 Mobile"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,kietlta,2/11/2026 2:00,"{""device_type"": ""mobile"", ""source_item"": ""home""}"
home,Game Dashboard,kietlta,2/10/2026 20:59,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
realtime,Real-time Dashboard,tuanqg,2/10/2026 20:54,"{""folder"": ""AA22: Lineage 2 Mobile"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
home,Game Dashboard,tuanqg,2/10/2026 20:54,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
home,Game Dashboard,anhvq5,2/10/2026 20:12,"{""device_type"": ""laptop"", ""source_item"": ""home""}"
tableau,Operation,tungpnt,2/10/2026 18:33,"{""folder"": ""661 - Play Together"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,661 - Play Together,tungpnt,2/10/2026 18:33,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
game,A49 - Crossfire Legends-VN,tungpnt,2/10/2026 18:33,"{""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
tableau,Complete View,phuongnlc,2/10/2026 18:09,"{""folder"": ""A52 - Naraka: Bladepoint"", ""device_type"": ""laptop"", ""source_item"": ""all_dashboard""}"
realtime,Real-time Dashboard,vinhvnn,2/10/2026 17:59,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
realtime,Real-time Dashboard,vinhvnn,2/10/2026 17:59,"{""folder"": ""A49 - Crossfire Legends-VN"", ""device_type"": ""laptop"", ""source_item"": ""realtime_dashboard""}"
