game_user_id,install_date,ua_cost,ltv_d3,ltv_d7,ltv_d30,ltv_d90,is_payer_by_d3,is_payer_by_d7,is_payer_by_d30,is_payer_by_d90,profit_d90,late_monetizer_flag,false_early_payer_flag,active_days_w7d,sessions_cnt_w7d,max_level_w7d
player_00001,2024-11-15,4.79,0,0,0,0,0,0,0,0,-4.79,0,0,4,8,40
player_00002,2024-10-11,6.95,7.98,23.62,33.2,48.07,1,1,1,1,41.12,0,0,5,12,44
player_00003,2024-12-29,8.78,11.1,31.9,150.35,215.07,1,1,1,1,206.29,0,0,6,13,27
player_00004,2024-10-12,0,7.45,26.66,68.23,107.66,1,1,1,1,107.66,0,0,6,12,31
player_00005,2024-12-09,5.4,0,0,0,0,0,0,0,0,-5.4,0,0,4,4,8
player_00006,2024-12-20,8.37,0,0,0,0,0,0,0,0,-8.37,0,0,1,1,6
player_00007,2024-12-27,6.54,0,0,0,0,0,0,0,0,-6.54,0,0,2,3,18
player_00008,2024-10-24,0,0,0,0,0,0,0,0,0,0,0,0,2,4,17
player_00009,2025-01-23,6.34,62.73,133.96,183.38,284.5,1,1,1,1,278.16,0,0,5,11,26
player_00010,2024-10-04,3.48,1.93,48.19,248.67,312.76,1,1,1,1,309.28,0,0,5,11,28
player_00011,2024-10-07,7.62,4.13,4.13,14.67,38.03,1,1,1,1,30.41,0,0,6,13,29
player_00012,2024-11-27,6.01,0,0,0,0,0,0,0,0,-6.01,0,0,3,3,20
player_00013,2024-10-03,0,4.75,9.51,14.02,27.93,1,1,1,1,27.93,0,0,2,2,17
player_00014,2024-10-20,3.24,0,0,23.48,160.32,0,0,1,1,157.08,1,0,5,10,32
player_00015,2024-10-18,5.89,0,0,0,0,0,0,0,0,-5.89,0,0,6,12,30
player_00016,2025-01-11,7.61,0.99,69.2,118.54,138.85,1,1,1,1,131.24,0,0,3,6,20
player_00017,2024-10-15,2.41,25.12,62.49,84.67,248.34,1,1,1,1,245.93,0,0,6,13,48
player_00018,2025-01-14,2.07,0,0,0,0,0,0,0,0,-2.07,1,0,7,14,62
player_00019,2024-12-31,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15
player_00020,2024-12-09,8.44,0,0,0,0,0,0,0,0,-8.44,1,0,3,7,25
player_00021,2024-12-12,5.98,37.03,107.02,135.24,329.01,1,1,1,1,323.03,0,0,2,4,33
player_00022,2025-01-17,4.04,63.7,195.82,229.26,381.39,1,1,1,1,377.35,0,0,6,16,49
player_00023,2025-01-20,1.81,0,0,0,0,0,0,0,0,-1.81,1,0,1,2,41
player_00024,2024-10-27,8.32,0,0,0,0,0,0,0,0,-8.32,0,0,0,0,6
player_00025,2024-10-16,8.49,0,0,0,0,0,0,0,0,-8.49,0,0,3,6,46
player_00026,2024-10-08,8.16,1.99,17.74,27.24,47.14,1,1,1,1,38.98,0,0,2,3,11
player_00027,2025-01-06,4.2,1.78,10.59,28.29,56.71,1,1,1,1,52.51,0,0,0,0,7
player_00028,2024-10-27,7.41,9.55,57.01,69.39,258.48,1,1,1,1,251.07,0,0,6,12,28
player_00029,2024-11-04,6.98,0,0,357.33,390.38,0,0,1,1,383.4,1,0,6,12,41
player_00030,2025-01-07,4.58,0,0,0,0,0,0,0,0,-4.58,0,0,0,0,9
player_00031,2024-11-08,8.63,0,0,0,0,0,0,0,0,-8.63,0,0,3,7,9
player_00032,2025-01-08,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40
player_00033,2024-11-27,1.81,17.91,28.76,50.34,159.76,1,1,1,1,157.95,0,0,5,11,36
player_00034,2025-01-17,5.8,15.41,190.92,207.66,388.97,1,1,1,1,383.17,0,0,4,8,45
player_00035,2024-12-04,0,0,0,0,0,0,0,0,0,0,0,0,2,4,26
player_00036,2025-01-17,4.04,18.35,152,156.92,174.95,1,1,1,1,170.91,0,0,1,2,5
player_00037,2024-10-24,3.88,0,0,0,0,0,0,0,0,-3.88,0,0,2,2,11
player_00038,2024-12-13,7.08,3.93,67.98,172.12,233.66,1,1,1,1,226.58,0,0,3,6,19
player_00039,2024-11-29,5.37,0,0,0,0,0,0,0,0,-5.37,0,0,0,0,3
player_00040,2024-12-03,0,0,0,26.59,74.66,0,0,1,1,74.66,1,0,6,13,46
player_00041,2024-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
player_00042,2024-11-03,2.49,0,0,0,0,0,0,0,0,-2.49,0,0,2,3,5
player_00043,2024-10-01,7.38,0,0,4.2,111.51,0,0,1,1,104.13,0,0,3,6,13
player_00044,2024-10-03,3.75,0,0,0,0,0,0,0,0,-3.75,0,0,3,3,6
player_00045,2024-11-16,3.33,0,0,0,0,0,0,0,0,-3.33,0,0,2,4,5
player_00046,2024-10-30,5.25,5.22,25.31,30.24,86.54,1,1,1,1,81.29,0,0,1,1,6
player_00047,2024-12-01,6.4,2.66,100.93,106.69,230.01,1,1,1,1,223.61,0,0,4,8,41
